epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4338,1.82872,3.85592,1.65923,0.01108,0.37606,0.06655,0.03367,1.78952,3.96317,1.58667,4.998e-05,4.998e-05,4.998e-05
2,84.3869,1.71099,3.73567,1.59494,0.02541,0.50056,0.09451,0.0546,1.57374,3.89283,1.41415,0.000106146,0.000106146,0.000106146
3,126.765,1.55668,3.40293,1.4702,0.02462,0.54381,0.13536,0.08258,1.46265,3.78214,1.34299,0.000160003,0.000160003,0.000160003
4,171.252,1.48561,3.0548,1.41673,0.02411,0.61266,0.16208,0.09125,1.44942,3.67277,1.31531,0.00021155,0.00021155,0.00021155
5,213.846,1.47836,2.7825,1.42011,0.94369,0.07861,0.17581,0.11013,1.43093,3.49762,1.3148,0.000260789,0.000260789,0.000260789
6,262.542,1.46452,2.51617,1.40244,0.79623,0.0756,0.17846,0.1137,1.4281,3.42665,1.31337,0.000307719,0.000307719,0.000307719
7,313.831,1.41031,2.3639,1.3815,0.57025,0.14409,0.19392,0.11528,1.55139,3.30245,1.42995,0.000352339,0.000352339,0.000352339
8,362.37,1.47656,2.17701,1.3852,0.57832,0.15859,0.23139,0.13531,1.52058,3.06825,1.40874,0.00039465,0.00039465,0.00039465
9,412.013,1.4215,2.09182,1.43616,0.61303,0.20461,0.31442,0.17809,1.47318,2.93303,1.39096,0.000434653,0.000434653,0.000434653
10,463.209,1.41808,2.05524,1.4115,0.65509,0.17979,0.35382,0.2024,1.47803,2.81548,1.39525,0.000472346,0.000472346,0.000472346
11,513.751,1.39912,2.02457,1.43908,0.59603,0.19014,0.35817,0.20916,1.53465,2.77123,1.45837,0.00050773,0.00050773,0.00050773
12,565.841,1.38959,1.92422,1.39252,0.53196,0.30138,0.38468,0.23601,1.538,2.60061,1.48366,0.000540805,0.000540805,0.000540805
13,920.908,1.32325,1.83678,1.33359,0.52595,0.30564,0.37341,0.21732,1.5394,2.57834,1.49761,0.000571571,0.000571571,0.000571571
14,963.482,1.31327,1.77549,1.33857,0.52901,0.40538,0.41677,0.23714,1.54442,2.52997,1.49136,0.000600028,0.000600028,0.000600028
15,1005.14,1.2422,1.73513,1.29004,0.49748,0.46943,0.47712,0.28867,1.41082,2.21882,1.39185,0.000602092,0.000602092,0.000602092
16,1045.36,1.23996,1.70862,1.27478,0.55114,0.45199,0.46984,0.2915,1.39116,2.13506,1.38741,0.000585599,0.000585599,0.000585599
17,1087.33,1.21126,1.60858,1.28564,0.5374,0.48936,0.46828,0.28943,1.4126,2.1846,1.39857,0.000569106,0.000569106,0.000569106
18,1139.22,1.19802,1.60406,1.25333,0.4923,0.46039,0.48237,0.29179,1.40154,2.17151,1.37925,0.000552612,0.000552612,0.000552612
19,1211.65,1.1773,1.55795,1.24104,0.58289,0.53022,0.52462,0.31977,1.33683,2.02051,1.34505,0.000536119,0.000536119,0.000536119
20,1304.01,1.12928,1.50624,1.22932,0.63843,0.51528,0.55106,0.33491,1.33413,1.92639,1.34363,0.000519625,0.000519625,0.000519625
21,1370.32,1.1861,1.5128,1.247,0.57441,0.56675,0.57264,0.3484,1.33061,1.8815,1.34252,0.000503132,0.000503132,0.000503132
22,1434.45,1.12815,1.48282,1.25565,0.59543,0.559,0.61086,0.38829,1.3326,1.82564,1.37614,0.000486639,0.000486639,0.000486639
23,1504.12,1.10283,1.40018,1.20266,0.62453,0.5791,0.65253,0.39912,1.32986,1.75717,1.40101,0.000470145,0.000470145,0.000470145
24,1569.83,1.10276,1.38106,1.19147,0.66011,0.60433,0.66147,0.40044,1.33184,1.66632,1.39209,0.000453652,0.000453652,0.000453652
25,1637.37,1.12803,1.35522,1.20099,0.71533,0.52963,0.66357,0.40615,1.33461,1.64211,1.38612,0.000437158,0.000437158,0.000437158
26,1704.68,1.10345,1.35806,1.22171,0.76368,0.51632,0.67604,0.41308,1.33075,1.61172,1.38471,0.000420665,0.000420665,0.000420665
27,1775.34,1.04763,1.33488,1.19497,0.71699,0.55225,0.68036,0.44823,1.26446,1.59536,1.35562,0.000404172,0.000404172,0.000404172
28,1845.36,1.06134,1.31082,1.17382,0.83377,0.54734,0.70469,0.45374,1.30348,1.60164,1.34952,0.000387678,0.000387678,0.000387678
29,1919.96,1.03137,1.29171,1.17241,0.76775,0.59122,0.7077,0.45126,1.30052,1.63355,1.33947,0.000371185,0.000371185,0.000371185
30,1993.87,1.02641,1.24512,1.16163,0.8026,0.61601,0.71959,0.4587,1.28436,1.58656,1.3358,0.000354691,0.000354691,0.000354691
31,2068.82,0.99706,1.21879,1.16119,0.71922,0.64378,0.72486,0.48256,1.19863,1.49064,1.29043,0.000338198,0.000338198,0.000338198
32,2142.06,0.98085,1.16642,1.12579,0.8077,0.62781,0.73041,0.49329,1.19441,1.42259,1.29891,0.000321705,0.000321705,0.000321705
33,2215.23,0.96501,1.19939,1.13963,0.80183,0.63192,0.73278,0.49114,1.18342,1.40391,1.29287,0.000305211,0.000305211,0.000305211
34,2286.44,1.0175,1.216,1.1568,0.83796,0.61816,0.74297,0.50301,1.17155,1.39924,1.27461,0.000288718,0.000288718,0.000288718
35,2360.15,0.9799,1.16561,1.13105,0.84647,0.62325,0.76982,0.51666,1.16035,1.38551,1.24725,0.000272224,0.000272224,0.000272224
36,2437.15,0.96489,1.1316,1.11183,0.79962,0.6509,0.76867,0.51616,1.15061,1.39218,1.23412,0.000255731,0.000255731,0.000255731
37,2507.68,0.92081,1.1389,1.11589,0.78441,0.66002,0.76848,0.51229,1.13788,1.36496,1.22259,0.000239238,0.000239238,0.000239238
38,2579.58,0.91652,1.0984,1.11407,0.76603,0.72073,0.78962,0.53787,1.11918,1.31678,1.22954,0.000222744,0.000222744,0.000222744
39,2654.73,0.92814,1.05128,1.07433,0.77345,0.70411,0.78029,0.54302,1.08874,1.28468,1.20796,0.000206251,0.000206251,0.000206251
40,2728.95,0.88471,1.06419,1.11085,0.81187,0.68806,0.78836,0.54782,1.10025,1.27899,1.20913,0.000189757,0.000189757,0.000189757
41,2803.01,0.95304,1.25691,1.18354,0.84612,0.67408,0.79002,0.54989,1.08487,1.27203,1.19697,0.000173264,0.000173264,0.000173264
42,2872.68,0.88527,1.15398,1.1088,0.85796,0.69251,0.80655,0.56461,1.09381,1.32594,1.19893,0.000156771,0.000156771,0.000156771
43,2943.61,0.89664,1.17771,1.10262,0.82937,0.67722,0.80962,0.55256,1.13022,1.43015,1.22952,0.000140277,0.000140277,0.000140277
44,3014.25,0.8618,1.12239,1.10349,0.86288,0.67111,0.81375,0.54684,1.15412,1.45047,1.24564,0.000123784,0.000123784,0.000123784
45,3080.97,0.8321,1.0752,1.10774,0.92649,0.65265,0.80518,0.54777,1.13118,1.40941,1.21992,0.00010729,0.00010729,0.00010729
46,3150.35,0.82917,1.08138,1.05943,0.9091,0.67795,0.81278,0.55761,1.10269,1.30937,1.19406,9.0797e-05,9.0797e-05,9.0797e-05
47,3218.21,0.83611,1.0318,1.10809,0.92702,0.67883,0.8206,0.56287,1.08213,1.24276,1.17996,7.43036e-05,7.43036e-05,7.43036e-05
48,3290.15,0.81761,1.04993,1.06524,0.90205,0.67672,0.81763,0.57593,1.06652,1.20078,1.16714,5.78102e-05,5.78102e-05,5.78102e-05
49,3359.18,0.80003,0.98577,1.0592,0.88916,0.68045,0.81873,0.57915,1.06098,1.1917,1.16319,4.13168e-05,4.13168e-05,4.13168e-05
50,3428.72,0.81006,1.01334,1.05415,0.82814,0.74365,0.82492,0.58592,1.05517,1.18127,1.16184,2.48234e-05,2.48234e-05,2.48234e-05
