Frame,Batsman Detection ClassID,Batsman Detection ClassName,Style ClassID,Style ClassName,Confidence,X1,Y1,X2,Y2
0,4,Batsman,1,Defensive,0.6894699335098267,551,17,1725,1077
0,4,Batsman,3,Leave,0.720249354839325,28,25,1686,1070
1,4,Batsman,1,Defensive,0.7768349647521973,621,10,1731,1077
2,4,Batsman,1,Defensive,0.7791340351104736,608,7,1756,1076
3,4,Batsman,1,Defensive,0.5954179763793945,610,12,1739,1074
4,4,Batsman,3,Leave,0.5592520236968994,6,22,1633,1070
6,4,Batsman,1,Defensive,0.5893793106079102,27,39,1763,1080
10,4,Batsman,3,Leave,0.7511616945266724,2,36,1743,1080
15,4,Batsman,1,Defensive,0.6130853891372681,458,5,1817,1078
16,4,Batsman,1,Defensive,0.535944402217865,565,17,1835,1077
106,4,Batsman,3,Leave,0.7614172697067261,1118,12,1692,951
108,4,Batsman,3,Leave,0.9049736261367798,1090,7,1635,880
111,4,Batsman,3,Leave,0.7827062606811523,1057,4,1575,840
112,4,Batsman,3,Leave,0.8028247952461243,1046,1,1551,824
119,4,Batsman,3,Leave,0.8829674124717712,1000,16,1478,761
119,4,Batsman,3,Leave,0.5319568514823914,0,87,529,1004
120,4,Batsman,3,Leave,0.75184166431427,981,13,1463,767
121,4,Batsman,3,Leave,0.6901662945747375,959,20,1454,766
121,4,Batsman,3,Leave,0.4723518490791321,0,21,514,1035
122,4,Batsman,3,Leave,0.6413908004760742,963,22,1458,708
123,4,Batsman,3,Leave,0.7806650400161743,968,24,1457,729
123,4,Batsman,3,Leave,0.9054726362228394,0,1,503,1031
124,4,Batsman,3,Leave,0.5371401906013489,0,1,499,1022
125,4,Batsman,3,Leave,0.3765750229358673,0,42,502,1009
125,4,Batsman,3,Leave,0.755633533000946,950,22,1418,754
126,4,Batsman,3,Leave,0.41050803661346436,0,18,483,1008
126,4,Batsman,3,Leave,0.8879621624946594,943,21,1413,696
