epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.43793,1.86755,3.12331,2.27037,0.0049,0.83333,0.35457,0.08703,1.61215,3.76579,2.9082,0,0,0
2,8.3153,1.88157,3.04707,2.2157,0.00599,1,0.46,0.10515,1.56071,3.76878,2.76657,1.6505e-05,1.6505e-05,1.6505e-05
3,12.1098,1.81966,3.01035,2.02045,0.00604,1,0.47902,0.11643,1.37125,3.82842,2.42069,3.26799e-05,3.26799e-05,3.26799e-05
4,15.7997,1.51422,3.01353,2.01036,0.0061,1,0.752,0.19307,1.371,3.73329,2.36358,4.85247e-05,4.85247e-05,4.85247e-05
5,19.545,1.58643,3.02643,2.04168,0.00619,1,0.83,0.32785,1.4021,3.64171,2.35379,6.40395e-05,6.40395e-05,6.40395e-05
6,23.339,1.59793,2.87981,1.99163,0.0063,1,0.8465,0.44748,1.27273,3.59203,2.21194,7.92242e-05,7.92242e-05,7.92242e-05
7,27.0973,1.48441,2.79699,1.95362,0.00635,1,0.97214,0.57063,1.1713,3.58973,2.09826,9.40788e-05,9.40788e-05,9.40788e-05
8,30.977,1.32991,2.64839,1.78527,0.00649,1,0.995,0.62718,1.10066,3.58817,1.97026,0.000108603,0.000108603,0.000108603
9,34.8407,1.22938,2.42353,1.65779,0.00656,1,0.995,0.66055,1.06457,3.57451,1.92712,0.000122798,0.000122798,0.000122798
10,38.7927,1.12128,2.30103,1.56673,0.00669,1,0.995,0.70958,1.08346,3.54493,2.00947,0.000136662,0.000136662,0.000136662
11,42.5402,1.23929,2.06245,1.56398,0.00669,1,0.995,0.68472,1.08211,3.48378,1.99274,0.000150197,0.000150197,0.000150197
12,46.3878,1.29348,1.99783,1.66284,0.00682,1,0.995,0.65328,1.07415,3.41835,1.96175,0.000163401,0.000163401,0.000163401
13,50.3008,1.09092,1.80996,1.58979,0.00696,1,0.995,0.61211,1.09775,3.42026,1.9472,0.000176275,0.000176275,0.000176275
14,54.5638,1.0799,1.71548,1.44647,0.00722,1,0.995,0.60559,1.0934,3.41094,1.88044,0.000188819,0.000188819,0.000188819
15,58.8076,1.14305,1.71244,1.491,0.00765,1,0.995,0.62351,1.1017,3.42493,1.82517,0.000201034,0.000201034,0.000201034
16,62.7491,1.19446,1.75106,1.57903,0.00834,1,0.92227,0.5633,1.26097,3.56278,1.90174,0.000212918,0.000212918,0.000212918
17,66.5285,1.18261,1.58283,1.48592,0.00882,1,0.81086,0.49038,1.38697,3.72577,2.06725,0.000224472,0.000224472,0.000224472
18,70.3538,0.98507,1.31888,1.34396,0.00882,1,0.81086,0.49038,1.38697,3.72577,2.06725,0.000235695,0.000235695,0.000235695
19,74.5231,1.04489,1.42722,1.40524,0.00776,0.83333,0.77188,0.38232,1.58574,3.9631,2.27332,0.000246589,0.000246589,0.000246589
20,78.4781,0.93259,1.31615,1.30677,0.00776,0.83333,0.77188,0.38232,1.58574,3.9631,2.27332,0.000257153,0.000257153,0.000257153
21,82.6277,0.95482,1.29822,1.37659,0.00787,0.83333,0.73648,0.42067,1.51487,3.94259,2.17144,0.000267387,0.000267387,0.000267387
22,86.3476,0.85767,1.28544,1.33104,0.00787,0.83333,0.73648,0.42067,1.51487,3.94259,2.17144,0.00027729,0.00027729,0.00027729
23,90.127,0.90219,1.33693,1.35331,0.00916,1,0.77331,0.52945,1.35335,3.75586,2.01281,0.000286864,0.000286864,0.000286864
24,93.9936,0.93576,1.15684,1.28943,0.00916,1,0.77331,0.52945,1.35335,3.75586,2.01281,0.000296108,0.000296108,0.000296108
25,97.8517,0.96476,1.15497,1.21909,0.00908,1,0.7937,0.5446,1.5136,3.56888,2.10713,0.000305021,0.000305021,0.000305021
26,101.721,0.8446,1.16145,1.31589,0.00908,1,0.7937,0.5446,1.5136,3.56888,2.10713,0.000313604,0.000313604,0.000313604
27,105.833,0.81553,1.06027,1.23605,0.00858,0.83333,0.66712,0.36675,1.86503,3.63321,2.47195,0.000321858,0.000321858,0.000321858
28,109.885,0.81049,1.12045,1.23453,0.00858,0.83333,0.66712,0.36675,1.86503,3.63321,2.47195,0.000329781,0.000329781,0.000329781
29,113.834,0.71902,1.02176,1.12431,0.01002,0.83333,0.60609,0.32185,2.13094,3.7615,2.94982,0.000337374,0.000337374,0.000337374
30,117.804,0.86583,1.04075,1.28152,0.01002,0.83333,0.60609,0.32185,2.13094,3.7615,2.94982,0.000344637,0.000344637,0.000344637
31,121.874,0.79324,1.03839,1.18238,0.01048,0.83333,0.50543,0.32644,2.05353,3.61862,2.9753,0.00035157,0.00035157,0.00035157
32,125.795,0.70909,0.98272,1.16545,0.01048,0.83333,0.50543,0.32644,2.05353,3.61862,2.9753,0.000358173,0.000358173,0.000358173
33,130.099,0.68061,0.98014,1.22103,0.01193,1,0.73192,0.35079,1.77776,3.44996,2.7189,0.000364446,0.000364446,0.000364446
34,135.864,0.67147,1.00752,1.1273,0.01193,1,0.73192,0.35079,1.77776,3.44996,2.7189,0.000370389,0.000370389,0.000370389
35,139.887,0.78233,1.0323,1.27972,0.70446,0.33333,0.74992,0.37619,1.45053,3.09917,2.34322,0.000376002,0.000376002,0.000376002
36,143.674,0.82468,0.96653,1.15711,0.70446,0.33333,0.74992,0.37619,1.45053,3.09917,2.34322,0.000381285,0.000381285,0.000381285
37,147.526,0.65607,0.90996,1.15212,0.76628,0.66667,0.855,0.46816,1.22322,2.90448,2.06871,0.000386237,0.000386237,0.000386237
38,151.21,0.75096,0.89363,1.1975,0.76628,0.66667,0.855,0.46816,1.22322,2.90448,2.06871,0.00039086,0.00039086,0.00039086
39,154.939,0.76493,0.98787,1.18538,0.62795,0.66667,0.73944,0.43067,1.26734,2.8759,2.14058,0.000395152,0.000395152,0.000395152
40,158.714,0.72709,0.96894,1.22995,0.62795,0.66667,0.73944,0.43067,1.26734,2.8759,2.14058,0.000399115,0.000399115,0.000399115
41,162.638,0.65833,0.89181,1.10959,0.84104,0.66667,0.85852,0.47061,1.42763,3.01295,2.31484,0.000402747,0.000402747,0.000402747
